authority_identifier,authority_name
robbinsdale_cty_mn,Robbinsdale
rochester_cty_mn,Rochester
rock-creek_cty_mn,Rock Creek
rockford_cty_mn,Rockford
rockville_cty_mn,Rockville
rogers_cty_mn,Rogers
rollingstone_cty_mn,Rollingstone
roosevelt_cty_mn,Roosevelt
roscoe_cty_mn,Roscoe
rose-creek_cty_mn,Rose Creek
roseau_cty_mn,Roseau
rosemount_cty_mn,Rosemount
roseville_cty_mn,Roseville
rothsay_cty_mn,Rothsay
round-lake_cty_mn,Round Lake
royalton_cty_mn,Royalton
rush-city_cty_mn,Rush City
rushford_cty_mn,Rushford
rushford-village_cty_mn,Rushford Village
rushmore_cty_mn,Rushmore
russell_cty_mn,Russell
ruthton_cty_mn,Ruthton
rutledge_cty_mn,Rutledge
sabin_cty_mn,Sabin
sacred-heart_cty_mn,Sacred Heart
saint-anthony/hennepin_cty_mn,Saint Anthony (Hennepin/Ramsey Counties)
saint-anthony/stearns_cty_mn,Saint Anthony (Stearns County)
saint-augusta_cty_mn,Saint Augusta
saint-bonifacius_cty_mn,Saint Bonifacius
saint-charles_cty_mn,Saint Charles
saint-clair_cty_mn,Saint Clair
saint-cloud_cty_mn,Saint Cloud
saint-hilaire_cty_mn,Saint Hilaire
saint-james_cty_mn,Saint James
saint-joseph_cty_mn,Saint Joseph
saint-leo_cty_mn,Saint Leo
saint-louis-park_cty_mn,Saint Louis Park
saint-martin_cty_mn,Saint Martin
saint-marys-point_cty_mn,Saint Marys Point
saint-michael_cty_mn,Saint Michael
saint-paul_cty_mn,Saint Paul
saint-paul-park_cty_mn,Saint Paul Park
saint-peter_cty_mn,Saint Peter
saint-rosa_cty_mn,Saint Rosa
saint-stephen_cty_mn,Saint Stephen
saint-vincent_cty_mn,Saint Vincent
sanborn_cty_mn,Sanborn
sandstone_cty_mn,Sandstone
sargeant_cty_mn,Sargeant
sartell_cty_mn,Sartell
sauk-centre_cty_mn,Sauk Centre
sauk-rapids_cty_mn,Sauk Rapids
savage_cty_mn,Savage
scandia_cty_mn,Scandia
scanlon_cty_mn,Scanlon
seaforth_cty_mn,Seaforth
sebeka_cty_mn,Sebeka
sedan_cty_mn,Sedan
shafer_cty_mn,Shafer
shakopee_cty_mn,Shakopee
shelly_cty_mn,Shelly
sherburn_cty_mn,Sherburn
shevlin_cty_mn,Shevlin
shoreview_cty_mn,Shoreview
shorewood_cty_mn,Shorewood
silver-bay_cty_mn,Silver Bay
silver-lake_cty_mn,Silver Lake
skyline_cty_mn,Skyline
slayton_cty_mn,Slayton
sleepy-eye_cty_mn,Sleepy Eye
sobieski_cty_mn,Sobieski
solway_cty_mn,Solway
south-haven_cty_mn,South Haven
south-saint-paul_cty_mn,South Saint Paul
spicer_cty_mn,Spicer
spring-grove_cty_mn,Spring Grove
spring-hill_cty_mn,Spring Hill
spring-lake-park_cty_mn,Spring Lake Park
spring-park_cty_mn,Spring Park
spring-valley_cty_mn,Spring Valley
springfield_cty_mn,Springfield
squaw-lake_cty_mn,Squaw Lake
stacy_cty_mn,Stacy
staples_cty_mn,Staples
starbuck_cty_mn,Starbuck
steen_cty_mn,Steen
stephen_cty_mn,Stephen
stewart_cty_mn,Stewart
stewartville_cty_mn,Stewartville
stillwater_cty_mn,Stillwater
stockton_cty_mn,Stockton
storden_cty_mn,Storden
strandquist_cty_mn,Strandquist
strathcona_cty_mn,Strathcona
sturgeon-lake_cty_mn,Sturgeon Lake
sunburg_cty_mn,Sunburg
sunfish-lake_cty_mn,Sunfish Lake
swanville_cty_mn,Swanville
taconite_cty_mn,Taconite
tamarack_cty_mn,Tamarack
taopi_cty_mn,Taopi
taunton_cty_mn,Taunton
taylors-falls_cty_mn,Taylors Falls
tenstrike_cty_mn,Tenstrike
thief-river-falls_cty_mn,Thief River Falls
tintah_cty_mn,Tintah
tonka-bay_cty_mn,Tonka Bay
tower_cty_mn,Tower
tracy_cty_mn,Tracy
trail_cty_mn,Trail
trimont_cty_mn,Trimont
trommald_cty_mn,Trommald
trosky_cty_mn,Trosky
truman_cty_mn,Truman
turtle-river_cty_mn,Turtle River
twin-lakes_cty_mn,Twin Lakes
twin-valley_cty_mn,Twin Valley
two-harbors_cty_mn,Two Harbors
tyler_cty_mn,Tyler
ulen_cty_mn,Ulen
underwood_cty_mn,Underwood
upsala_cty_mn,Upsala
urbank_cty_mn,Urbank
utica_cty_mn,Utica
vadnais-heights_cty_mn,Vadnais Heights
vergas_cty_mn,Vergas
vermillion_cty_mn,Vermillion
verndale_cty_mn,Verndale
vernon-center_cty_mn,Vernon Center
vesta_cty_mn,Vesta
victoria_cty_mn,Victoria
viking_cty_mn,Viking
villard_cty_mn,Villard
vining_cty_mn,Vining
virginia_cty_mn,Virginia
wabasha_cty_mn,Wabasha
wabasso_cty_mn,Wabasso
waconia_cty_mn,Waconia
wadena_cty_mn,Wadena
wahkon_cty_mn,Wahkon
waite-park_cty_mn,Waite Park
waldorf_cty_mn,Waldorf
walker_cty_mn,Walker
walnut-grove_cty_mn,Walnut Grove
walters_cty_mn,Walters
waltham_cty_mn,Waltham
wanamingo_cty_mn,Wanamingo
wanda_cty_mn,Wanda
warba_cty_mn,Warba
warren_cty_mn,Warren
warroad_cty_mn,Warroad
waseca_cty_mn,Waseca
watertown_cty_mn,Watertown
waterville_cty_mn,Waterville
watkins_cty_mn,Watkins
watson_cty_mn,Watson
waubun_cty_mn,Waubun
waverly_cty_mn,Waverly
wayzata_cty_mn,Wayzata
welcome_cty_mn,Welcome
wells_cty_mn,Wells
wendell_cty_mn,Wendell
west-concord_cty_mn,West Concord
west-saint-paul_cty_mn,West Saint Paul
west-union_cty_mn,West Union
westbrook_cty_mn,Westbrook
westport_cty_mn,Westport
whalan_cty_mn,Whalan
wheaton_cty_mn,Wheaton
white-bear-lake_cty_mn,White Bear Lake
wilder_cty_mn,Wilder
willernie_cty_mn,Willernie
williams_cty_mn,Williams
willmar_cty_mn,Willmar
willow-river_cty_mn,Willow River
wilmont_cty_mn,Wilmont
wilton_cty_mn,Wilton
windom_cty_mn,Windom
winger_cty_mn,Winger
winnebago_cty_mn,Winnebago
winona_cty_mn,Winona
winsted_cty_mn,Winsted
winthrop_cty_mn,Winthrop
winton_cty_mn,Winton
wolf-lake_cty_mn,Wolf Lake
wolverton_cty_mn,Wolverton
wood-lake_cty_mn,Wood Lake
woodbury_cty_mn,Woodbury
